4922390564635367|12|2028|001
4922395007458004|04|2030|225
4922391523483618|05|2030|332
4922394302888452|04|2030|662
4922393585680206|10|2030|574
4922396087057740|12|2027|062
4922393177377609|11|2030|043
4922395346015366|07|2027|548
4922391328826342|08|2028|887
4922395486376362|04|2027|430
4922390680185719|11|2028|440
4922392416343711|01|2028|407
4922396641464432|08|2030|781
4922392552318246|11|2029|584
4922391666763776|05|2028|502
4922392618875700|05|2030|128
4922393250217243|09|2030|053
4922397076065736|04|2030|860
4922397301633100|08|2028|660
4922396682285241|01|2030|714
4922396664710687|11|2030|408
4922392037417423|11|2030|308
4922391127187565|05|2028|463
4922392581460647|12|2030|031
4922392253772139|02|2028|775
4922391486057284|05|2028|570
4922396428143852|01|2028|214
4922393711185716|12|2029|055
4922394255157327|10|2028|888
4922394682324870|03|2027|365
4922393250872237|06|2029|307
4922397831857740|02|2027|835
4922390525513448|01|2028|130
4922396301717822|04|2029|111
4922397686035822|05|2028|787
4922390657478873|09|2030|113
4922392554710135|10|2028|083
4922393181677150|02|2029|676
4922392087301782|02|2027|135
4922395024578271|09|2029|074
4922393825466556|09|2027|682
4922394648362626|04|2030|281
4922390780475515|06|2030|453
4922393516228539|10|2029|041
4922392778518751|07|2029|873
4922392321605147|11|2030|665
4922391008338758|12|2028|686
4922398642500073|09|2027|644
4922391482685559|01|2028|562
4922392148186883|11|2030|233
4922394437744810|02|2028|256
4922395713357037|03|2027|861
4922393602144418|02|2029|318
4922395634366307|09|2027|522
4922393603357407|04|2030|247
4922396601656852|04|2030|271
4922390122657200|08|2029|401
4922390662574377|12|2028|888
4922394801114152|06|2028|351
4922392153475155|08|2027|525
4922398634470814|06|2030|774
4922398840725035|10|2030|443
4922390762508572|01|2030|164
4922391816055784|01|2030|513
4922396720063717|08|2027|870
4922395042636382|08|2029|372
4922396362610833|01|2029|560
4922391607150075|09|2028|158
4922392008344325|11|2030|135
4922392455554855|03|2027|601
4922395748356475|12|2030|410
4922390485627352|10|2030|424
4922395536885404|08|2027|216
4922395003481505|09|2028|106
4922391385546544|07|2027|470
4922398066203865|06|2027|076
4922395631350536|05|2030|474
4922394885876262|11|2028|010
4922398376738816|12|2028|145
4922393020008203|08|2028|345
4922394276837881|12|2029|537
4922390851786782|11|2028|871
4922393680427347|02|2030|300
4922391001580281|02|2030|112
4922394027367733|01|2029|057
4922392558875728|03|2030|220
4922397845567251|11|2030|685
4922394830166025|03|2028|515
4922398632750183|12|2030|120
4922398141351457|11|2027|782
4922391013825146|08|2027|374
4922391415260850|06|2027|500
4922390752147217|12|2028|533
4922393530004809|12|2028|240
